method,board,nodes,solve_length,opt_solve,solve_time
BFS,..HBBK..HI.KAAHI.KGCCC..GDDJ..EE.JFF,1055,75,43,0.03711676597595215
BFS,BBICC.DDI.K.HAA.K.HEEEK.H..J..FF.JGG,878,56,43,0.03299999237060547
BFS,BBHCCC..H..JAAH..JGDDEEJGFFI.....I..,348,68,43,0.01155853271484375
BFS,BBH..LG.HCCLG.AAJ.DD.IJ.EEEIK.FF.IK.,14325,71,42,0.9909384250640869
BFS,H.BBCCH.DD.KAAI..K..IEELFFIJ.LGGGJ..,7972,77,42,0.35089635848999023
BFS,FBB.K.FGH.KLFGHAALCCCJ.L..IJDDEEI...,4987,74,42,0.2202904224395752
BFS,..HBBB..H...AAIJKLCCIJKLFGDD.LFGEEE.,7332,71,42,0.3265044689178467
BFS,BBB..K..H..K..HAAKCCIJ..FGIJDDFGEEE.,4795,73,42,0.21643996238708496
BFS,G.BB..GCCC.KAAHI.KDDHI.K...JEE.FFJ..,6153,75,42,0.2511286735534668
BFS,GBBB.LG.HCCLAAHIKM.DDIKM...JEEFFFJ..,6048,75,42,0.269639253616333
BFS,F.....FBBB.KAAGHJKCCGHJK...IDD.EEI..,4770,76,42,0.19720673561096191
BFS,H.BBB.HCCJL.AAIJL.DDIKL....KEE.FFGG.,5027,72,42,0.2077655792236328
BFS,F.BBB.F..HJKAA.HJKCCCIJK..GIDDEEG...,4987,68,42,0.20653057098388672
BFS,F.....FBBBJ.AAGHJKCCGHJK...IDD.EEI..,4517,78,42,0.17992019653320312
BFS,G.BB..GCCCK.AAHIK.DDHIK....JEE.FFJ..,4240,77,42,0.17183732986450195
BFS,H.BBCCHDDD.KAAIJ.K..IJEE.FFF.L.GGG.L,2738,67,42,0.1184539794921875
BFS,BBG..KF.GCCKF.AAIKDD.HI.EEEHJ....HJ.,3744,69,42,0.15976309776306152
BFS,F.....FBBBJKAAGHJKCCGHJK...IDD.EEI..,3028,79,42,0.11874055862426758
BFS,BBBJ....IJCCAAI..LH.IDDLHEEEKMFFGGKM,2651,59,42,0.11552906036376953
BFS,FGBBJ.FG.IJLFAAIKL..H.KM..HCCMDDDEEM,660,49,42,0.02660369873046875
BFS,FGBBJ.FG.IJLFAAIKL..H.KM..HCCMDDEEEM,648,49,42,0.02595376968383789
BFS,GBBICCG.HI.KAAH..K..HDDK...JEEFFFJ..,1263,75,42,0.04572105407714844
BFS,BBCCCLI..DDLI..AAMEEFFKMGGJ.KM..JHHH,955,54,42,0.037555694580078125
BFS,GBBBCCGH...KGHAA.KDDDJ.K..IJEEFFI...,993,59,42,0.0388028621673584
BFS,.HBBCC.H.JK.AA.JKLGDDDKLG.IEELG.IFF.,1869,65,42,0.0759878158569336
BFS,BBJLCCDDJL.MAAK..MI.K.EEIFF..NIGGHHN,1116,71,42,0.042253732681274414
BFS,..HBBB..H..KAAI.JKCCI.JLFGDD.LFGEEEL,1008,59,42,0.03643679618835449
BFS,BBICC.H.I.K.HAA.K.HDDDK....JEEFF.JGG,934,57,42,0.03636765480041504
