method,board,nodes,solve_length,opt_solve,solve_time
A*_zero,..GBBB..G..KAAHIJKCCHIJLFDD..LFEEE.L,1422,57,43,0.09156370162963867
A*_zero,BBCCCMDDK..MI.KAAMI..LEEJ..LFFJGGHHH,1071,64,43,0.06308412551879883
A*_zero,..HBBK..HI.KAAHI.KGCCC..GDDJ..EE.JFF,1048,74,43,0.05860567092895508
A*_zero,BBICC.DDI.K.HAA.K.HEEEK.H..J..FF.JGG,876,55,43,0.053131103515625
A*_zero,BBHCCC..H..JAAH..JGDDEEJGFFI.....I..,342,67,43,0.01640915870666504
A*_zero,BBH..LG.HCCLG.AAJ.DD.IJ.EEEIK.FF.IK.,14312,70,42,1.7914893627166748
A*_zero,H.BBCCH.DD.KAAI..K..IEELFFIJ.LGGGJ..,7980,76,42,0.6348891258239746
A*_zero,FBB.K.FGH.KLFGHAALCCCJ.L..IJDDEEI...,5001,73,42,0.5800449848175049
A*_zero,..HBBB..H...AAIJKLCCIJKLFGDD.LFGEEE.,7375,70,42,0.566481351852417
A*_zero,BBB..K..H..K..HAAKCCIJ..FGIJDDFGEEE.,4825,72,42,0.5449762344360352
A*_zero,G.BB..GCCC.KAAHI.KDDHI.K...JEE.FFJ..,6101,74,42,0.4398050308227539
A*_zero,GBBB.LG.HCCLAAHIKM.DDIKM...JEEFFFJ..,6073,74,42,0.4806947708129883
A*_zero,F.....FBBB.KAAGHJKCCGHJK...IDD.EEI..,4791,75,42,0.5498337745666504
A*_zero,H.BBB.HCCJL.AAIJL.DDIKL....KEE.FFGG.,5057,71,42,0.355440616607666
A*_zero,F.BBB.F..HJKAA.HJKCCCIJK..GIDDEEG...,5032,67,42,0.36092686653137207
A*_zero,F.....FBBBJ.AAGHJKCCGHJK...IDD.EEI..,4533,77,42,0.3180408477783203
A*_zero,G.BB..GCCCK.AAHIK.DDHIK....JEE.FFJ..,4209,76,42,0.47931504249572754
A*_zero,H.BBCCHDDD.KAAIJ.K..IJEE.FFF.L.GGG.L,2730,66,42,0.19610166549682617
A*_zero,BBG..KF.GCCKF.AAIKDD.HI.EEEHJ....HJ.,3750,68,42,0.2731895446777344
A*_zero,F.....FBBBJKAAGHJKCCGHJK...IDD.EEI..,3033,78,42,0.19890928268432617
A*_zero,BBBJ....IJCCAAI..LH.IDDLHEEEKMFFGGKM,2645,58,42,0.19631505012512207
A*_zero,FGBBJ.FG.IJLFAAIKL..H.KM..HCCMDDDEEM,670,48,42,0.04207444190979004
A*_zero,FGBBJ.FG.IJLFAAIKL..H.KM..HCCMDDEEEM,660,48,42,0.03973960876464844
A*_zero,GBBICCG.HI.KAAH..K..HDDK...JEEFFFJ..,1266,74,42,0.07290053367614746
A*_zero,BBCCCLI..DDLI..AAMEEFFKMGGJ.KM..JHHH,956,53,42,0.059740304946899414
A*_zero,GBBBCCGH...KGHAA.KDDDJ.K..IJEEFFI...,994,58,42,0.061963558197021484
A*_zero,.HBBCC.H.JK.AA.JKLGDDDKLG.IEELG.IFF.,1855,64,42,0.3228724002838135
A*_zero,BBJLCCDDJL.MAAK..MI.K.EEIFF..NIGGHHN,1122,70,42,0.06496310234069824
A*_zero,..HBBB..H..KAAI.JKCCI.JLFGDD.LFGEEEL,1009,58,42,0.05743265151977539
A*_zero,BBICC.H.I.K.HAA.K.HDDDK....JEEFF.JGG,920,56,42,0.05975222587585449
A*_zero,.BBBKMCC.IKMAA.ILNGDDJLNG.HJEEFFH...,13977,67,41,1.5292377471923828
A*_zero,BB.IJ.CCCIJLAA.IKLG.DDKMG.HEEMFFH...,7127,68,41,0.8275821208953857
A*_zero,BBBJ..HCCJ.MHAAKLMDDIKLN..IEEN.FFGG.,8909,68,41,0.9604995250701904
A*_zero,BBBIJ.CCCIJLAA.IKLG.DDKMG.HEEMFFH...,5185,69,41,0.646935224533081
A*_zero,.GBBKL.GHIKLAAHI.L..HJCCFDDJ..FEEE..,4480,73,41,0.3388667106628418
A*_zero,BBBCCLDDDJ.LAAIJ.M..IEEMH.FFK.HGGGK.,5167,58,41,0.6153969764709473
A*_zero,G..JBBG..JCCHAAJ..H.IDDKEEI..KFFF..K,5365,85,41,0.39145779609680176
A*_zero,BB.I.LEG.IKLEGAAKMFCCJKMF.HJ..F.HDD.,7585,58,41,0.7904930114746094
A*_zero,H.BBCCHDDD.KAAIJ.K..IJEE.FFF.L..GG.L,3940,64,41,0.29706645011901855
A*_zero,BBG..KF.GCCKF.AAI.DD.HI.EEEHJ....HJ.,4779,66,41,0.3743100166320801
A*_zero,BBICC.DDI.K.HAA.KLHEEEKLH..JFFGG.J..,4176,55,41,0.5596356391906738
A*_zero,GBBB.KG.HCCKAAHI.L.DDI.L...JEEFFFJ..,2207,72,41,0.14230680465698242
A*_zero,BBICC.DDI.KLHAA.KLHEEEKLH..JFFGG.J..,2963,56,41,0.22765588760375977
A*_zero,BBH...G.HCC.G.AAJ.DD.IJ.EEEIK.FFFIK.,2518,69,41,0.17200899124145508
A*_zero,G.BBCCGDDD.KAAHI.K..HIEE.FFFJL....JL,2386,64,41,0.16779541969299316
A*_zero,.HBBCC.H.JK.AA.JKLGDDDKLG.IEE.G.IFF.,2778,61,41,0.1990644931793213
A*_zero,.BBBCCDDEEEM..KAAMFFKL.MJ..LGGJHHII.,1480,63,41,0.09642481803894043
A*_zero,BBCCC.I..KDDIAAK.L..JEELFFJ..MGGJHHM,2097,68,41,0.13876676559448242
A*_zero,HIBBCCHIDDL.HAAKLMEEEKLM..JFFM..JGG.,2445,60,41,0.37429189682006836
A*_zero,G..BBBG..I.KAA.I.KCCCJ.K..HJDDEEHFF.,1755,66,41,0.10695290565490723
A*_zero,..GBBJ..GH.JAAGH.JFCCC..FDDI..EE.I..,1504,70,41,0.08262372016906738
A*_zero,.BBBCC..JDDMAAJKLMIEEKLNIFF..NGGHHHN,1009,54,41,0.06330108642578125
A*_zero,..IBBB..IJCCAAIJ.LH.DDKLHEEEKMFFGGGM,848,51,41,0.06020927429199219
A*_zero,GIBBLMGICCLMHAAK.NH.JK.NH.JDDDEEFFF.,730,59,41,0.044098615646362305
A*_zero,GIBBLMGICCLMHAAK.NH.JK.NH.JDDDEEEFF.,688,59,41,0.04299759864807129
A*_zero,..GBBB..G..JAAH.IJCCH.IKFDD..KFEEE.K,754,54,41,0.043744802474975586
A*_zero,..GBBB..G..JAAHI.JCCHI.KFDD..KFEEE.K,579,54,41,0.03183865547180176
A*_zero,BBBJ....IJCCAAI..KH.IDDKHEEE.LFFGGGL,463,54,41,0.02769756317138672
A*_zero,..GBBB..G..JAAH.IJCCH.IK.FDD.K.FEEEK,494,54,41,0.025518417358398438
A*_zero,BBHCC.G.H.J.GAA.J.GDDDJ....I..EE.IFF,539,54,41,0.03059220314025879
A*_zero,HBBB.MHCCJ.MAAIJLMDDIKL....KEEFFGG..,16919,70,40,1.69810152053833
A*_zero,F..BBBF..H.KAA.HJKCCCIJK..GIDDEEG...,7783,63,40,0.7821304798126221
A*_zero,BBBKCC...KDDAAJK.MI.JEEMI.FFLNGGHHLN,7579,60,40,0.8245913982391357
A*_zero,BB.K..H..KCCHIAALMHIDDLMEEJ.LNFFJGGN,1934,55,40,0.15487241744995117
A*_zero,F.BBB.F..HJ.AA.HJKCCCIJK..GIDDEEG...,6657,63,40,0.6650862693786621
A*_zero,BBH...G.HCC.G.AAJ.DD.IJ.EEEIK.FF.IK.,3597,67,40,0.7570412158966064
A*_zero,HBBCCCHDDK.MAAJK.MEEJFFM.I..L..IGGL.,3177,76,40,0.39983344078063965
A*_zero,..GBBB..G...AAHIJKCCHIJK.FDD.K.FEEE.,3641,66,40,0.49225878715515137
A*_zero,.HI.BB.HI..LAAI..LGCCDDLGEEJK.FFFJK.,3859,74,40,0.5186343193054199
A*_zero,F.HBBBF.HI..FAAI.K.G.IJK.GCCJLDDDEEL,1614,52,40,0.20265769958496094
A*_zero,HIBBCCHIDDL.HAAKLMEEEKLM..JFF...JGG.,3813,57,40,0.5345335006713867
A*_zero,.GBBBK.G...K.AAIJLCCHIJLF.HDDLF.HEEE,1772,56,40,0.49548935890197754
A*_zero,BBH...F.HCCCFAAIJKDD.IJKG..I.LGEEE.L,3106,57,40,0.44051432609558105
A*_zero,BBB..J..G..J..GAAJCCHI...FHIDD.FEEE.,2017,68,40,0.2287755012512207
A*_zero,BBH.CC..HDDKAAI..KG.IEELGFFJ.LG..J..,1507,72,40,0.15897202491760254
A*_zero,F.....FBBB.JAAGH.JCCGH.J...IDD.EEI..,1914,72,40,0.20711565017700195
A*_zero,.GBBCC.G.IJ.AA.IJ.FDDDJKF.H..KF.HEEK,2054,62,40,0.2455298900604248
A*_zero,..IBB.CCIJL.HAAJL.HDDEE.FFFK..GG.K..,1234,68,40,0.13866972923278809
A*_zero,..FBBJ..FG.JAAFGIJECCCI.EDDH.....H..,1533,70,40,0.16312718391418457
A*_zero,F.....FBBBJ.AAGHJ.CCGHJ....IDD.EEI..,1437,74,40,0.15186405181884766
A*_zero,.HBBCC.H.JDDAA.JK.GEEEK.G.I.K.G.IFF.,1580,61,40,0.18200325965881348
A*_zero,..IBB.CCIJL.HAAJL.HDDEE.FFFK..GGGK..,805,68,40,0.0876626968383789
A*_zero,HBBL..H.JLCCI.JAAMI.KDDM..KEENFFGG.N,813,62,40,0.08389949798583984
A*_zero,.GBBCC.G.IJ.AA.IJKFDDDJKF.HEEKF.H...,974,61,40,0.10363245010375977
A*_zero,BBCCCLG.H..LG.HAALDDEEK...IJK...IJFF,652,55,40,0.06661772727966309
A*_zero,.BBBKMCC.IKMAA.IL.GDDJL.G.HJEEFFH...,16426,66,39,3.103670597076416
A*_zero,BBCCKLDD..KLH.AA.MHEEE.MH.IJFFGGIJ..,8846,64,39,1.0028679370880127
A*_zero,.BBBKMCC.IKMAA.ILMGDDJL.G.HJEEFFH...,12661,67,39,1.3200364112854004
A*_zero,HBBB.LHCCJ.LAAIJ.LDDIK.....KEE.FFGG.,7324,67,39,0.7345905303955078
A*_zero,IBBKCCIDDK.MAAJL.M..JLEE..JFF..GGHH.,5433,74,39,0.391679048538208
A*_zero,G.BBKMGCCCKMAAHILNDDHILN...JEE...JFF,5422,72,39,0.6546080112457275
A*_zero,...KBBHI.KLMHIAALMHCCDDM..JEE.FFJGG.,5739,67,39,0.4577975273132324
A*_zero,BBHCC.G.H.J.GAA.JKGDDDJK...IEEFF.I..,3308,54,39,0.2619004249572754
A*_zero,BBBJLMCC.JLMAA.K..HDDKEEH.IFFNGGI..N,2655,68,39,0.18685078620910645
A*_zero,BBBJ..HCCJ.LHAAK.LDDIK.M..IEEM.FFGG.,3074,65,39,0.40846753120422363
A*_zero,...HI.BBBHIKAA.HJKF.CCJLF.GDDLEEG...,2400,64,39,0.1802682876586914
A*_zero,HBBCCCH.JKDDAAJK...IJEEL.I...L.FFGGL,3534,68,39,0.26382923126220703
A*_zero,BBHCC.G.H.JKGAA.JKGDDDJK...IEEFF.I..,2453,55,39,0.18559646606445312
A*_zero,GBBBKMGCCCKMAAHILNDDHILN...JEE...JFF,3545,74,39,0.275850772857666
A*_zero,BBF..JE.FCCJE.AAHK...GHKDDDGI....GI.,3212,63,39,0.44566988945007324
A*_zero,GBBK..GIJKCCHIJAALHDDD.LEE...MFFF..M,2935,65,39,0.2247786521911621
A*_zero,GBBB.LG.HIKLAAHIKM.CCJ.M...JDDEEFFF.,2313,59,39,0.16599607467651367
A*_zero,.GBBCC.G.IJ.AA.IJKFDDDJKF.H...F.HEE.,2852,58,39,0.19753813743591309
A*_zero,GBB.K.G.H.KLG.HAALCCCJ.L..IJDDEEIFF.,1622,60,39,0.11460423469543457
A*_zero,BBB..K..ICCKAAI..LH.IDDLHEEEJ.FFGGJ.,1936,52,39,0.13681888580322266
A*_zero,..KBBBCCKL..JAAL.MJDDEEMFFGG.MHHHII.,2453,58,39,0.17356443405151367
A*_zero,E.BBB.E..GIJAA.GIJCCCHIJ..FHDD..F...,2327,65,39,0.15402841567993164
A*_zero,..JBBBCCJKLMIAAKLMIDD..NEEFF.NGGHHHN,1337,49,39,0.09346652030944824
A*_zero,G.BBCCGDDD.JAAHI.J..HIEE.FFF.K.....K,1215,61,39,0.0760810375213623
A*_zero,BBICC.DDI.K.HAA.K.HEEEK.H..JFFGG.J..,1228,52,39,0.2824544906616211
A*_zero,.BBCC...IJ..AAIJ..DDIKEEHFFK.LHGGG.L,942,67,39,0.05195927619934082
A*_zero,BBG...F.GCC.F.AAI.DD.HI.EEEHJ....HJ.,1200,63,39,0.07276701927185059
A*_zero,.GBBCC.G.IJ.AA.IJKFDDDJKF.HEE.F.H...,1448,58,39,0.08985567092895508
A*_zero,BBCCCLDD.J.LAA.J.LHIEEFFHI..K.HGG.K.,1015,52,39,0.06133294105529785
A*_zero,GHBBCCGHDDK.GAAJKLEEEJKL..IFFL..I...,1415,57,39,0.09212112426757812
A*_zero,.BBBCC..JDDLAAJ.KLIEE.KMIFF..MGGHHHM,983,51,39,0.06069517135620117
A*_zero,..JBBBCCJKLMIAAKLMIDD..NEEFF.NGGGHHN,1215,49,39,0.08385491371154785
A*_zero,G.JBBBG.JK.LHAAK.LHCCDDLHIEE...IFF..,884,57,39,0.052259206771850586
A*_zero,BBJK..GIJKMNGIAAMNHCCL.NH..LDDHEEEFF,857,55,39,0.05176973342895508
A*_zero,GIBB.LGICC.LHAAK.MH.JK.MH.JDDDEEFFF.,413,55,39,0.0224306583404541
A*_zero,.HBBCC.H.JK.AA.JK.GDDDK.G.IEE.G.IFF.,922,59,39,0.05495405197143555
A*_zero,GIBB.LGICC.LHAAK.MH.JK.MH.JDDDEEEFF.,395,55,39,0.021675825119018555
A*_zero,..HBB.CCHIK.GAAIK.GDDEE.FFFJ.....J..,337,65,39,0.017618417739868164
A*_zero,GBBB.LG.HCCLAAHIKM.DDIKM...JEE.FFJ..,23373,63,38,2.6924633979797363
A*_zero,...JBBF.IJ.LF.IAALGCCCKMGHDDKM.HEEK.,13929,70,38,1.7048470973968506
A*_zero,GBBBKLG.CCKLAAHIKMDDHI.M...JEEFF.J..,16104,64,38,1.9647812843322754
A*_zero,BB.IJ.CCCIJ.AA.IK.G.DDKLG.HEELFFH...,8949,62,38,0.9950168132781982
A*_zero,BBBJKLGCCJKLG.AAKLDDI....HI....HEEFF,12375,72,38,1.272554636001587
A*_zero,..JBBBG.JKCCGAAKLMHIDDLMHIEELNFF...N,12197,63,38,1.5255639553070068
A*_zero,G.IBBBG.IJCCGAAJ.L.H..KL.HDDKMEEFFKM,9737,52,38,1.1727700233459473
A*_zero,BBBCCL..IDDLAAI.KMHEEEKMH..JFFGG.J..,9452,67,38,0.9843308925628662
A*_zero,BB.I..FG.IKLFGAAKLFCCJ.L..HJDD..HEEE,3858,61,38,0.2860121726989746
A*_zero,BB.IJ.CCCIJ.AA.IKLG.DDKLG.HEELFFH...,6715,63,38,0.7725882530212402
A*_zero,BBBIJ.CCCIJ.AA.IK.G.DDKLG.HEELFFH...,6336,63,38,0.5227460861206055
A*_zero,..IBBB..IJCC.AAJ...HDDKL.HEEKLFFGGKL,8848,72,38,0.9617435932159424
A*_zero,BBBIKMCC.IKMAA.JLNGDDJLNG.HEENFFH...,5640,63,38,0.6791849136352539
