method,board,nodes,solve_length,opt_solve,solve_time
BFS,..HBBK..HI.KAAHI.KGCCC..GDDJ..EE.JFF,1055,75,43,0.03722548484802246
BFS,BBICC.DDI.K.HAA.K.HEEEK.H..J..FF.JGG,878,56,43,0.03351402282714844
BFS,BBHCCC..H..JAAH..JGDDEEJGFFI.....I..,348,68,43,0.010949134826660156
BFS,BBH..LG.HCCLG.AAJ.DD.IJ.EEEIK.FF.IK.,14325,71,42,0.6840083599090576
BFS,H.BBCCH.DD.KAAI..K..IEELFFIJ.LGGGJ..,7972,77,42,0.34487223625183105
BFS,FBB.K.FGH.KLFGHAALCCCJ.L..IJDDEEI...,4987,74,42,0.4237325191497803
BFS,..HBBB..H...AAIJKLCCIJKLFGDD.LFGEEE.,7332,71,42,0.4249589443206787
BFS,BBB..K..H..K..HAAKCCIJ..FGIJDDFGEEE.,4795,73,42,0.2491455078125
BFS,G.BB..GCCC.KAAHI.KDDHI.K...JEE.FFJ..,6153,75,42,0.3307921886444092
BFS,GBBB.LG.HCCLAAHIKM.DDIKM...JEEFFFJ..,6048,75,42,0.3622884750366211
BFS,F.....FBBB.KAAGHJKCCGHJK...IDD.EEI..,4770,76,42,0.24999785423278809
BFS,H.BBB.HCCJL.AAIJL.DDIKL....KEE.FFGG.,5027,72,42,0.2793314456939697
BFS,F.BBB.F..HJKAA.HJKCCCIJK..GIDDEEG...,4987,68,42,0.3189527988433838
BFS,F.....FBBBJ.AAGHJKCCGHJK...IDD.EEI..,4517,78,42,0.3543357849121094
BFS,G.BB..GCCCK.AAHIK.DDHIK....JEE.FFJ..,4240,77,42,0.33046388626098633
BFS,H.BBCCHDDD.KAAIJ.K..IJEE.FFF.L.GGG.L,2738,67,42,0.2289142608642578
BFS,BBG..KF.GCCKF.AAIKDD.HI.EEEHJ....HJ.,3744,69,42,0.2067246437072754
BFS,F.....FBBBJKAAGHJKCCGHJK...IDD.EEI..,3028,79,42,0.11743569374084473
BFS,BBBJ....IJCCAAI..LH.IDDLHEEEKMFFGGKM,2651,59,42,0.11587190628051758
BFS,FGBBJ.FG.IJLFAAIKL..H.KM..HCCMDDDEEM,660,49,42,0.026132583618164062
BFS,FGBBJ.FG.IJLFAAIKL..H.KM..HCCMDDEEEM,648,49,42,0.02583456039428711
BFS,GBBICCG.HI.KAAH..K..HDDK...JEEFFFJ..,1263,75,42,0.04660224914550781
BFS,BBCCCLI..DDLI..AAMEEFFKMGGJ.KM..JHHH,955,54,42,0.037214040756225586
BFS,GBBBCCGH...KGHAA.KDDDJ.K..IJEEFFI...,993,59,42,0.03810858726501465
BFS,.HBBCC.H.JK.AA.JKLGDDDKLG.IEELG.IFF.,1869,65,42,0.07488656044006348
BFS,BBJLCCDDJL.MAAK..MI.K.EEIFF..NIGGHHN,1116,71,42,0.04163241386413574
BFS,..HBBB..H..KAAI.JKCCI.JLFGDD.LFGEEEL,1008,59,42,0.0367429256439209
BFS,BBICC.H.I.K.HAA.K.HDDDK....JEEFF.JGG,934,57,42,0.04081606864929199
BFS,.BBBKMCC.IKMAA.ILNGDDJLNG.HJEEFFH...,13935,68,41,1.303966760635376
BFS,BB.IJ.CCCIJLAA.IKLG.DDKMG.HEEMFFH...,6948,69,41,0.6534566879272461
BFS,BBBJ..HCCJ.MHAAKLMDDIKLN..IEEN.FFGG.,8715,69,41,0.8054075241088867
BFS,BBBIJ.CCCIJLAA.IKLG.DDKMG.HEEMFFH...,4728,70,41,0.22181963920593262
BFS,.GBBKL.GHIKLAAHI.L..HJCCFDDJ..FEEE..,4474,74,41,0.19719386100769043
BFS,BBBCCLDDDJ.LAAIJ.M..IEEMH.FFK.HGGGK.,5164,59,41,0.23746848106384277
BFS,G..JBBG..JCCHAAJ..H.IDDKEEI..KFFF..K,5387,86,41,0.23576855659484863
BFS,BB.I.LEG.IKLEGAAKMFCCJKMF.HJ..F.HDD.,7627,59,41,0.3389003276824951
BFS,H.BBCCHDDD.KAAIJ.K..IJEE.FFF.L..GG.L,3947,65,41,0.17495107650756836
BFS,BBG..KF.GCCKF.AAI.DD.HI.EEEHJ....HJ.,4784,67,41,0.21235203742980957
BFS,BBICC.DDI.K.HAA.KLHEEEKLH..JFFGG.J..,4023,56,41,0.18941879272460938
BFS,GBBB.KG.HCCKAAHI.L.DDI.L...JEEFFFJ..,2178,73,41,0.08816909790039062
BFS,BBICC.DDI.KLHAA.KLHEEEKLH..JFFGG.J..,2806,57,41,0.12668228149414062
BFS,BBH...G.HCC.G.AAJ.DD.IJ.EEEIK.FFFIK.,2513,70,41,0.10373449325561523
