method,nodes,expanded_nodes,unexpanded_nodes,solve_length,opt_solve
A*,1911,0,0,78,51
A*,3859,0,0,99,50
A*,9538,0,0,94,49
A*,1209,0,0,90,49
A*,739,0,0,96,49
A*,1843,0,0,93,49
A*,17007,0,0,95,48
A*,1846,0,0,96,48
A*,1687,0,0,81,48
A*,2096,0,0,85,47
